"Subject Code","Catalog Number","Description"
"AAAS","10103","This course introduces students to topics animating the interdisciplinary field of comparative race and ethnic studies. Students will examine the interconnections between race, ethnicity, and social, political, and cultural frameworks and attitudes that inform community formation and sustaining it."
"AAAS","20103","Introduction to Black Studies surveys global Black life and culture.  Grounded in formative histories uniting Black people across the world - namely the Trans-Atlantic Slave trade, colonialism, contemporary migrations and cultural developments - this course is guided by these questions -  How is blackness both a dynamic concept and one that has been constituted across time through various political events, rebellions, forced and voluntary migrations, and cultural forms?  How has Black studies evolved in the academy and what are its futures?  Through their engagement with various texts, writing, research and presentations, students will explore such questions and more."
"AADM","20970","Prerequisites: Vary according to nature of material. For use when instructor has new material or new teaching strategies which are not appropriate to existing courses."
"AADM","30103","This course begins with a historic overview of the non-profit organization, and continues with an exploration of non-profit structure and governance, and the variety of careers and organizations found within the nonprofit sector.  Students will analyze the various factors that influence arts organizations, and how arts organizations, in turn, affect the world around us."
"AADM","40103","This course introduces students to the practical skills needed to successfully manage an arts organization.  Students will explore internal processes, such as budgeting and accountability, and the external relationships that the arts manager must navigate, such as development and fundraising, marketing and audience development, and education and outreach."
"ACCT","20353","3 hours.  Prerequisite: Sophomore standing and must be a business major or a student for whom the course is required by their major, minor, or concentration.  An introduction to business through the lenses of financial accounting: an information processing system that communicates relevant data regarding business entities to external decision makers.  Emphasizes the basic concepts, principles, and techniques used to measure, record, and report financial information according to generally accepted accounting principles.  Students may not receive credit for both ACCT 20353 and ACCT 20653.  The course may not be retaken for credit if the student has completed ACCT 30153."
"ACCT","20653","Prerequisites:  ECON 10223.  Must have sophomore standing, and be a business minor, or entrepreneurship and innovation minor, or receive departmental approval.  Students may not receive credit for both ACCT 20353 and ACCT 20653.  An introduction to accounting, financial reporting, and financial decision making for non-business students, including the use of accounting information by parties external to an organization (financial accounting) and by management (managerial accounting).  This course is not a substitute for ACCT 20353, and may not be applied to fulfill the lower division business requirements."
"ACCT","20990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"ACCT","30101","Prerequisites: must be a declared business major or departmental permission.  This seminar emphasizes development of student knowledge about the dynamic  opportunities in accounting and financial professions.  Specific topics to be addressed include professional development, communication, networking, and career education as it relates to audit, tax, or advisory career paths."
"ACCT","30153","3 hours. Prerequisites: At least a C- grade in ACCT 20353 and must be a declared Business major or an Accounting or Finance minor. In-depth study of the theory, principles, and tools used to measure, record, and report financial information according to generally accepted accounting principles. Financial Reporting I focuses on assets, their related income counterparts and the financial statements."
"ACCT","30163","3 hours. Prerequisite: ACCT 20353 with a grade of at least a C- and must be a declared Business major. Cost accounting fundamentals and the use of costs and costing systems to control operations and inform operational, tactical, and strategic decisions."
"ACCT","30253","3 hours. Prerequisites: at least a C- grade in ACCT 30153 and ACCT 20353, and must be a declared Business major. In-depth study of the theory, principles and tools used to measure, record, and report financial information according to generally accepted accounting principles. Financial Reporting II focuses on liabilities and equities and their related income counterparts."
"ACCT","30273","Prerequisite: ACCT 30153 with a grade of 'C-' or better.  Auditing theory, practice, and procedures as applied to the problems of typical financial audits, with special emphasis on the integrated audit of both financial statements and internal controls and compliance with current legislation governing the audit and financial reporting process.  Additional consideration is given to understanding relationships with clients, audit documentation, and preparation of audit reports."
"ACCT","30303","3 hours. Prerequisites: ACCT 20353, and must be a declared Business major. An introduction to the role of taxes in society, including current tax policy and proposals for reform, and the impact of taxes on individuals and business entities.  Designed to provide students with the knowledge and skills required to successfully evaluate the specific income tax implications of various fact situations."
"ACCT","30450","Prerequisites:  ACCT 30153 or permission of the department.  Addresses moral reasoning and decision making in an accounting context.  Tools for addressing ethical dilemmas are addressed from a personal and organizational framework.  Case studies are used to develop moral reasoning skills."
"ACCT","30460","Prerequisites:  ACCT 30153 or permission of the department.  This course is designed to further enhance students' ethical decision-making in relation to issues faced by accounting professionals. The course focuses on ethical reasoning and decision-making, integrity, objectivity, independence, professionalism and other core values of the accounting profession."
"ACCT","30990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"ACCT","40010","1 to 3 hours.  Prerequisites: senior standing and must be an Accounting major.   A full-time internship with a public accounting firm, corporation, or governmental agency allowing the student to gain professional experience that will help integrate the theory and practice of accounting.  This course may only be taken once and is graded on a Pass/No credit basis."
"ACCT","40030","Prerequisite: Departmental permission, and must be a declared Business major.  Preparation for and completion of a departmental honors project in the student's area of concentration in business under the direction of an assigned faculty member.  May be taken for up to three credit hours. ."
